day,post_date,video_title,script_ref,affiliate_tag,status,views,saves,link_clicks,notes
1,2026-07-02,"The 2-minute rule that killed my to-do list anxiety",Script 1,None,Not recorded,,,,First post - pure value no CTA link
2,2026-07-03,"I put my entire life in one Notion page",Script 2,Notion,Not recorded,,,,Needs 'SYSTEM' comment reply automation - manual for now
3,2026-07-04,"Stop checking email 40 times a day",Script 3,None,Not recorded,,,,
4,2026-07-05,"The $12 desk item that fixed my neck pain",Script 4,Amazon Associates,Not recorded,,,,Apply to Amazon Associates before this posts
5,2026-07-06,"The calendar trick that stopped my double-bookings",Script 5,None,Not recorded,,,,
6,2026-07-07,"I time-blocked my whole week in 10 minutes",Script 6,App TBD,Not recorded,,,,Pick which app to demo before recording
7,2026-07-08,"3 Apple Shortcuts that saved me an hour a week",Script 7,None,Not recorded,,,,
8,2026-07-09,"The desk setup that costs less than $50",Script 8,Amazon Associates,Not recorded,,,,Bundle post - multiple product links
9,2026-07-10,"Why I stopped using 5 productivity apps and switched to 1",Script 9,Notion,Not recorded,,,,
10,2026-07-11,"The email template that gets me faster replies",Script 10,None,Not recorded,,,,Good lead magnet tie-in candidate
11,2026-07-12,"How I read 20 books last year",Script 11,Audible,Not recorded,,,,
12,2026-07-13,"The closing checklist that ends my workday on time",Script 12,None,Not recorded,,,,Lead magnet tie-in
13,2026-07-14,"This Notion widget shows me exactly where my time went",Script 13,Notion,Not recorded,,,,
14,2026-07-15,"Cable management that actually works",Script 14,Amazon Associates,Not recorded,,,,
15,2026-07-16,"The 1-page weekly review that keeps me on track",Script 15,Lead magnet,Not recorded,,,,Build weekly review template before this posts
16,2026-07-17,TBD - Batch 2,Script 16,TBD,Needs script,,,,Write after Day 7 performance review
17,2026-07-18,TBD - Batch 2,Script 17,TBD,Needs script,,,,
18,2026-07-19,TBD - Batch 2,Script 18,TBD,Needs script,,,,
19,2026-07-20,TBD - Batch 2,Script 19,TBD,Needs script,,,,
20,2026-07-21,TBD - Batch 2,Script 20,TBD,Needs script,,,,
21,2026-07-22,TBD - Batch 2,Script 21,TBD,Needs script,,,,
22,2026-07-23,TBD - Batch 2,Script 22,TBD,Needs script,,,,
23,2026-07-24,TBD - Batch 2,Script 23,TBD,Needs script,,,,
24,2026-07-25,TBD - Batch 2,Script 24,TBD,Needs script,,,,
25,2026-07-26,TBD - Batch 2,Script 25,TBD,Needs script,,,,
26,2026-07-27,TBD - Batch 2,Script 26,TBD,Needs script,,,,
27,2026-07-28,TBD - Batch 2,Script 27,TBD,Needs script,,,,
28,2026-07-29,TBD - Batch 2,Script 28,TBD,Needs script,,,,
29,2026-07-30,TBD - Batch 2,Script 29,TBD,Needs script,,,,
30,2026-07-31,TBD - Batch 2,Script 30,TBD,Needs script,,,,Review month 1 performance, plan month 2
